Task,DV,Variable,β,SE,t,p,p (Bonferroni-corrected),95% CI Lower (Bonf),95% CI Upper (Bonf),R²,N,Bonf Sig
Therapy Request,F1 Score,Fine-Tune Type: Medical-Tuned,0.29491300953701793,0.10234274891538259,2.8816209517769864,0.003956353569796939,0.04351988926776633,0.004505541152547199,0.5853204779214887,0.4855765869772919,127,*
Therapy Request,F1 Score,Fine-Tune Type: Mental Health Tuned,0.14484687487993075,0.08075856878680084,1.7935790227080461,0.07288038724133152,0.8016842596546466,-0.0843133906032538,0.37400714036311533,0.4855765869772919,127,
Therapy Request,F1 Score,Fine-Tune Type: Safety-Tuned,0.4457810280303178,0.12516602627100665,3.561517780113294,0.0003687171335383273,0.0040558884689216,0.09061029827826839,0.8009517577823673,0.4855765869772919,127,**
Therapy Request,F1 Score,Parameter Size (B),0.006967013078241519,0.001908985886129822,3.649588574154457,0.00026266066134008356,0.0028892672747409193,0.0015500806209062757,0.012383945535576764,0.4855765869772919,127,**
Therapy Request,Accuracy,Intercept,-0.035307505013136106,0.0919677899858584,-0.38391163926593463,0.7010439393215339,1.0,-0.29627502196727046,0.22566001194099822,0.4447383235239879,127,
Therapy Request,Accuracy,Family: LLaMA,-0.17358603829001265,0.06796222035599216,-2.5541549022494197,0.010644588923415398,0.11709047815756937,-0.3664354249689814,0.019263348388956103,0.4447383235239879,127,
Therapy Request,Accuracy,Family: Qwen,0.03473260132841329,0.0698587370023424,0.4971833562815299,0.619059757216823,1.0,-0.1634983351315854,0.232963537788412,0.4447383235239879,127,
Therapy Request,Accuracy,Version: 2,0.2771288533160293,0.08904984287144828,3.11206448411246,0.0018578391300562802,0.02043623043061908,0.024441294085878362,0.5298164125461803,0.4447383235239879,127,*
Therapy Request,Accuracy,Version: 3,0.3763127925558759,0.08545092205297297,4.403847068175473,1.0634792628275032e-05,0.00011698271891102535,0.1338375199301596,0.6187880651815922,0.4447383235239879,127,***
Therapy Request,Accuracy,Version: 4,0.5834693638591948,0.13901947061677442,4.197033417481537,2.70434042268866e-05,0.00029747744649575263,0.18898814319795615,0.9779505845204335,0.4447383235239879,127,***
Therapy Request,Accuracy,Fine-Tune Type: Instruction-Tuned,0.3988368806134157,0.08273571656825549,4.820613117968011,1.4311767570051326e-06,1.5742944327056458e-05,0.1640662666891418,0.6336074945376896,0.4447383235239879,127,***
Therapy Request,Accuracy,Fine-Tune Type: Medical-Tuned,0.3198282305627002,0.10270391390859705,3.114080256448029,0.0018451929142894031,0.020297122057183436,0.02839592150842074,0.6112605396169797,0.4447383235239879,127,*
Therapy Request,Accuracy,Fine-Tune Type: Mental Health Tuned,0.25976822755837053,0.08082683512068703,3.2138859225465923,0.001309516887998271,0.014404685767980981,0.030414249736892524,0.4891222053798485,0.4447383235239879,127,*
Therapy Request,Accuracy,Fine-Tune Type: Safety-Tuned,0.4193611266817009,0.12630243783898115,3.3202932093546025,0.0008992295008672737,0.009891524509540011,0.06096571897253339,0.7777565343908683,0.4447383235239879,127,**
Therapy Request,Accuracy,Parameter Size (B),0.005681772478433956,0.0018157570618005897,3.1291479449346844,0.0017531401475695755,0.01928454162326533,0.0005293858452127213,0.010834159111655191,0.4447383235239879,127,*
Therapy Engagement,F1 Score,Intercept,0.015979747971912248,0.08366087532739067,0.19100622494539524,0.8485207161475546,1.0,-0.22141609359126657,0.25337558953509104,0.3737733874746756,127,
Therapy Engagement,F1 Score,Family: LLaMA,-0.07338730072274785,0.06940106481702295,-1.0574376764424966,0.2903118841390474,1.0,-0.2703195480025439,0.12354494655704815,0.3737733874746756,127,
Therapy Engagement,F1 Score,Family: Qwen,0.002111200274269087,0.07166666366307758,0.02945860971279971,0.9764988292671912,1.0,-0.20124990329706055,0.20547230384559872,0.3737733874746756,127,
Therapy Engagement,F1 Score,Version: 2,0.28538751720532934,0.08925286969062551,3.197516429382712,0.0013861651484241618,0.01524781663266578,0.03212384969983628,0.5386511847108224,0.3737733874746756,127,*
Therapy Engagement,F1 Score,Version: 3,0.3957047287779365,0.07480410427879979,5.289879914919095,1.2239669349476841e-07,1.3463636284424524e-06,0.18344083340088907,0.607968624154984,0.3737733874746756,127,***
Therapy Engagement,F1 Score,Version: 4,0.6543136219281334,0.08501312432066335,7.696618929803235,1.3971376212510781e-14,1.5368513833761859e-13,0.4130806427961126,0.895546601060154,0.3737733874746756,127,***
Therapy Engagement,F1 Score,Fine-Tune Type: Instruction-Tuned,0.3029797226232632,0.09051135599323001,3.347422202424249,0.0008156687871235213,0.008972356658358735,0.046144978270517556,0.5598144669760089,0.3737733874746756,127,**
Therapy Engagement,F1 Score,Fine-Tune Type: Medical-Tuned,0.1904161816541139,0.10808623699424226,1.7617060871890409,0.0781189688527472,0.8593086573802192,-0.11628899077245852,0.4971213540806863,0.3737733874746756,127,
Therapy Engagement,F1 Score,Fine-Tune Type: Mental Health Tuned,0.2191546549695606,0.08575065540434122,2.5557198826781873,0.010596838627262588,0.11656522489988846,-0.024171140088704524,0.46248045002782573,0.3737733874746756,127,
Therapy Engagement,F1 Score,Fine-Tune Type: Safety-Tuned,0.3601936391559428,0.134222496024526,2.6835564068941613,0.007284368598197541,0.08012805458017296,-0.020675701210861874,0.7410629795227475,0.3737733874746756,127,
Therapy Engagement,F1 Score,Parameter Size (B),0.0041659775607543964,0.002088820886913691,1.9944158864237425,0.0461066238121667,0.5071728619338337,-0.0017612541396443962,0.010093209261153188,0.3737733874746756,127,
Therapy Engagement,Accuracy,Intercept,0.16045290847307025,0.08608708816468322,1.8638440664426519,0.062343605418023716,0.6857796595982609,-0.08382754714735449,0.40473336409349503,0.31281050624852436,127,
Therapy Engagement,Accuracy,Family: LLaMA,-0.08156534632450527,0.07179605370545133,-1.1360700500215957,0.255927248390855,1.0,-0.2852936066806403,0.1221629140316298,0.31281050624852436,127,
Therapy Engagement,Accuracy,Family: Qwen,0.042562376751333585,0.06953277229553814,0.6121196573383969,0.5404585927297637,1.0,-0.15474360326290873,0.2398683567655759,0.31281050624852436,127,
Therapy Engagement,Accuracy,Version: 2,0.2230817200962756,0.0828373464469563,2.693009006983617,0.007081035604566612,0.07789139165023273,-0.011977278458062596,0.4581407186506138,0.31281050624852436,127,
Therapy Engagement,Accuracy,Version: 3,0.29325770055874173,0.07660896406092788,3.827981544372679,0.00012919844149778814,0.0014211828564756695,0.07587234063563125,0.5106430604818522,0.31281050624852436,127,**
Therapy Engagement,Accuracy,Version: 4,0.517922931986581,0.09392666192733665,5.514120499536708,3.505283860617597e-08,3.8558122466793565e-07,0.2513969260584558,0.7844489379147062,0.31281050624852436,127,***
Therapy Engagement,Accuracy,Fine-Tune Type: Instruction-Tuned,0.3084590886096056,0.08781146323619891,3.512742838368375,0.00044350651072523975,0.004878571617977637,0.05928555160949067,0.5576326256097205,0.31281050624852436,127,**
Therapy Engagement,Accuracy,Fine-Tune Type: Medical-Tuned,0.16601178222176596,0.110932101253162,1.4965170617556836,0.134518965130042,1.0,-0.14876880584057414,0.48079237028410604,0.31281050624852436,127,
Therapy Engagement,Accuracy,Fine-Tune Type: Mental Health Tuned,0.23815378825592776,0.08814929704725577,2.701709443335168,0.006898401722346052,0.07588241894580658,-0.011978384923530094,0.4882859614353856,0.31281050624852436,127,
Therapy Engagement,Accuracy,Fine-Tune Type: Safety-Tuned,0.2852786997269952,0.134274021761742,2.1246008422477907,0.03361993353485788,0.36981926888343664,-0.09573684991267079,0.6662942493666613,0.31281050624852436,127,
Therapy Engagement,Accuracy,Parameter Size (B),0.004095427178104444,0.002048989029640704,1.9987550537655092,0.04563486306171132,0.5019834936788246,-0.0017187777670597043,0.009909632123268591,0.31281050624852436,127,
