task,model_family,model_size,parse_success_rate,sensitivity,specificity,accuracy,f1_score
suicidal_ideation,llama_mental_health,3b-youth-classification,0.8844444444444445,0.6844444444444444,0.8666666666666667,0.7755555555555556,0.7530562347188264
therapy_engagement,llama_mental_health,3b-youth-classification,1.0,0.8357142857142857,0.8821428571428571,0.8666666666666667,0.806896551724138
therapy_request,llama_mental_health,3b-youth-classification,0.6641025641025641,0.1153846153846153,0.7076923076923077,0.5102564102564102,0.1357466063348416
therapy_engagement,llama_mental_health,7b-mentallama,0.6904761904761905,0.3142857142857143,0.5607142857142857,0.4785714285714286,0.2866449511400651
therapy_engagement,llama_mental_health,8b-companion,1.0,0.9428571428571428,0.7535714285714286,0.8166666666666667,0.7741935483870969
suicidal_ideation,llama_mental_health,8b-mental-health-classification,0.9977777777777778,0.7111111111111111,0.9777777777777776,0.8444444444444444,0.8205128205128205
therapy_engagement,llama_mental_health,8b-mental-health-classification,1.0,0.85,0.9321428571428572,0.9047619047619048,0.8561151079136692
therapy_request,llama_mental_health,8b-mental-health-classification,1.0,0.4038461538461538,0.9980769230769232,0.8,0.5737704918032787
suicidal_ideation,llama_mental_health,8b-mental-mix-sft,0.9777777777777776,0.8977777777777778,0.9644444444444444,0.9311111111111112,0.928735632183908
therapy_engagement,llama_mental_health,8b-mental-mix-sft,1.0,0.5642857142857143,0.9964285714285714,0.8523809523809524,0.7181818181818181
therapy_request,llama_mental_health,8b-mental-mix-sft,1.0,0.5307692307692308,0.9942307692307693,0.8397435897435898,0.688279301745636
suicidal_ideation,llama_therapy,8b-mental-therapy-cat,0.8111111111111111,0.5288888888888889,0.8844444444444445,0.7066666666666667,0.6432432432432432
therapy_engagement,llama_therapy,8b-mental-therapy-cat,0.9833333333333332,0.85,0.9285714285714286,0.9023809523809524,0.8530465949820788
therapy_request,llama_therapy,8b-mental-therapy-cat,0.9666666666666668,0.7653846153846153,0.8519230769230769,0.823076923076923,0.7425373134328358
suicidal_ideation,llama_therapy,8b-psycare,0.9933333333333332,0.6977777777777778,0.9866666666666668,0.8422222222222222,0.8155844155844156
therapy_engagement,llama_therapy,8b-psycare,1.0,0.3928571428571428,1.0,0.7976190476190477,0.5641025641025641
therapy_request,llama_therapy,8b-psycare,0.9833333333333332,0.2653846153846154,0.9865384615384616,0.7461538461538462,0.4107142857142857
suicidal_ideation,llama_therapy,8b-psychocounsel,1.0,0.8755555555555555,0.9777777777777776,0.9266666666666666,0.9227166276346604
therapy_engagement,llama_therapy,8b-psychocounsel,0.9976190476190476,0.8857142857142857,0.9892857142857144,0.9547619047619048,0.9288389513108616
therapy_request,llama_therapy,8b-psychocounsel,1.0,0.6538461538461539,0.9788461538461538,0.8705128205128205,0.7709750566893425
suicidal_ideation,llama_therapy,8b-therapy-model,0.7844444444444445,0.3955555555555555,0.7066666666666667,0.5511111111111111,0.4684210526315789
